candidate_id,rank,score,reasoning
CAND_0077337,1,0.7260,"Staff Machine Learning Engineer (7.0 yrs); hands-on with Pinecone, Qdrant, OpenSearch, RAG; production deployment experience at product companies; based in Kochi. actively open to work; high recruiter response rate (95%)."
CAND_0081846,2,0.7119,"Lead AI Engineer (6.7 yrs); hands-on with Qdrant, Elasticsearch, PyTorch, BM25; production deployment experience at product companies; based in Jaipur. actively open to work; short notice (30d)."
CAND_0018499,3,0.7105,"Senior Machine Learning Engineer (7.2 yrs); hands-on with Pinecone, Weaviate, Milvus, RAG; production deployment experience at product companies; based in Noida (Tier-1). actively open to work; immediately available (15d notice)."
CAND_0041610,4,0.6795,"Recommendation Systems Engineer (6.7 yrs); hands-on with Elasticsearch, OpenSearch, PyTorch, LoRA; production deployment experience at product companies; based in Indore. actively open to work; short notice (30d)."
CAND_0005649,5,0.6520,"Senior Data Scientist (7.4 yrs); hands-on with Weaviate, TensorFlow, RAG, QLoRA; production deployment experience at product companies; based in Delhi (Tier-1). actively open to work; long notice period (90d) reduces urgency."
CAND_0033861,6,0.6470,"Senior NLP Engineer (8.0 yrs); hands-on with Pinecone, Weaviate, Qdrant, Milvus; production deployment experience at product companies; based in Vizag. low response rate (16%) — availability concern; short notice (30d)."
CAND_0011687,7,0.6436,"Senior NLP Engineer (7.8 yrs); hands-on with FAISS, Weaviate, OpenSearch, PyTorch; production deployment experience at product companies; based in Indore. actively open to work; high recruiter response rate (89%); immediately available (15d notice)."
CAND_0007009,8,0.6433,"Recommendation Systems Engineer (7.9 yrs); hands-on with Weaviate, OpenSearch, LoRA, PEFT; product-company background; based in Noida (Tier-1). actively open to work; short notice (30d)."
CAND_0005260,9,0.6403,"Senior NLP Engineer (5.2 yrs); hands-on with RAG, LoRA, IR, embeddings; production deployment experience at product companies; based in Chennai. high recruiter response rate (86%)."
CAND_0028793,10,0.6388,"Search Engineer (7.2 yrs); hands-on with PyTorch, LoRA, PEFT, QLoRA; production deployment experience at product companies; based in Trivandrum. actively open to work; long notice period (120d) reduces urgency."
CAND_0006418,11,0.6367,"Machine Learning Engineer (5.7 yrs); hands-on with Weaviate, Qdrant, Elasticsearch, OpenSearch; production deployment experience at product companies; based in Gurgaon (Tier-1). actively open to work; high recruiter response rate (92%)."
CAND_0041669,12,0.6364,"Recommendation Systems Engineer (8.0 yrs); hands-on with FAISS, Weaviate, Qdrant, Milvus; production deployment experience at product companies; based in Noida (Tier-1). actively open to work."
CAND_0084819,13,0.6350,"Search Engineer (4.5 yrs); hands-on with Weaviate, OpenSearch, PyTorch, LoRA; product-company background; based in Indore. actively open to work; long notice period (120d) reduces urgency."
CAND_0087630,14,0.6344,"AI Engineer (7.2 yrs); hands-on with Elasticsearch, OpenSearch, QLoRA, BM25; production deployment experience at product companies; based in Gurgaon (Tier-1). short notice (30d)."
CAND_0027801,15,0.6342,"NLP Engineer (7.4 yrs); hands-on with FAISS, Milvus, OpenSearch, TensorFlow; production deployment experience at product companies; based in Hyderabad (Tier-1). actively open to work; long notice period (120d) reduces urgency."
CAND_0086022,16,0.6323,"Senior Applied Scientist (5.3 yrs); hands-on with Pinecone, Elasticsearch, PyTorch, TensorFlow; production deployment experience at product companies; based in Kolkata. actively open to work; long notice period (90d) reduces urgency."
CAND_0091909,17,0.6309,"Machine Learning Engineer (6.9 yrs); hands-on with Pinecone, Qdrant, OpenSearch, QLoRA; production deployment experience at product companies; based in Bangalore (Tier-1). actively open to work."
